Gender,Age,Region,What is the highest level of education you have completed?,What is your current relationship status?,What's your main occupation?,What is your current household income?,In which social class would you consider yourself? ,How often do you smoke cigarettes?,Do you pay back the entirety of your credit card debt every month?
Female,54,Yorkshire and The Humber,Post-graduate,Civil Partnership,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Lower middle class,Never,No
Female,39,West Midlands,Vocational/Technical college,Living with partner,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Male,42,Yorkshire and The Humber,University,Living with partner,Senior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,Yes
Male,43,East of England,Post-graduate,Living with partner,Intermediate managerial / Professional / Administrative,"More than £150,000",Upper middle class,Never,No
Female,27,East Midlands,Post-graduate,Married,Retired,"£35,000 - £54,999",Lower middle class,Never,No
Male,48,South West,Vocational/Technical college,Married,Skilled manual worker,"£0 - £9,999",Upper class,Never,Yes
Female,51,Scotland,Vocational/Technical college,Married,Skilled manual worker,"£100,000 - £149,999",Working class,4+ times a day,No
Female,46,Yorkshire and The Humber,Vocational/Technical college,Married,Homemaker,"£0 - £9,999",Middle class,Never,Yes
Male,41,South West,Post-graduate,Divorced,Senior managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,No
Neither,52,East Midlands,Upper Secondary School,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,No
Female,54,London,Vocational/Technical college,I'd rather not say,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,No
Female,44,Northern Ireland,University,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,Yes
Female,42,South East,Vocational/Technical college,Living with partner,Unskilled manual worker,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Male,51,Yorkshire and The Humber,University,Married,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,Yes
Female,53,London,University,Married,Intermediate managerial / Professional / Administrative,"£100,000 - £149,999",Lower middle class,Never,Yes
Female,41,West Midlands,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Never,No
Female,54,Northern Ireland,Upper Secondary School,Divorced,Retired,"£10,000 - £16,999",Working class,2-3 times a day,No
Female,41,West Midlands,Vocational/Technical college,Married,Unskilled manual worker,"£17,000 - £34,999",Working class,Weekly,I don't have a credit card
Female,51,East of England,University,Single,Skilled manual worker,"£17,000 - £34,999",Working class,Never,No
Female,42,West Midlands,Upper Secondary School,In a relationship,Skilled manual worker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Male,43,South East,University,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Never,Yes
Female,48,North East,University,Single,Senior managerial / Professional / Administrative,Prefer not to say,Lower middle class,Never,No
Female,33,East of England,Post-graduate,Single,Student,"£17,000 - £34,999",Middle class,Never,Yes
Female,44,East Midlands,Lower Secondary School,Living with partner,Full-time carer,"£10,000 - £16,999",Underclass,Never,I don't have a credit card
Female,34,West Midlands,Vocational/Technical college,Separated,Full-time carer,"£35,000 - £54,999",Lower middle class,Never,No
Female,51,South West,Vocational/Technical college,Married,Unemployed,"£17,000 - £34,999",Middle class,Never,I don't have a credit card
Male,54,East of England,University,Single,Retired,"£10,000 - £16,999",Middle class,Never,Yes
Female,51,Northern Ireland,Upper Secondary School,Divorced,Senior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,No
Female,53,North West,Upper Secondary School,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,76,South East,University,Divorced,Retired,"£17,000 - £34,999",Middle class,Never,Yes
Male,69,Northern Ireland,University,In a relationship,Retired,"£10,000 - £16,999",Middle class,Never,Yes
Female,63,East Midlands,Vocational/Technical college,Divorced,Skilled manual worker,"£17,000 - £34,999",Working class,Never,No
Male,65,East Midlands,Upper Secondary School,Married,Semi-skilled manual worker,"£10,000 - £16,999",Working class,Never,No
Male,63,South East,University,Single,Retired,"£17,000 - £34,999",Lower middle class,Never,Yes
